"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jul 2007 12:39:16.599,1 Jul 2007 12:46:50.939,454.340
2,1 Jul 2007 14:18:03.819,1 Jul 2007 14:34:09.651,965.832
3,1 Jul 2007 16:00:14.583,1 Jul 2007 16:14:56.315,881.731
4,2 Jul 2007 00:11:33.063,2 Jul 2007 00:23:36.333,723.271
5,2 Jul 2007 01:50:14.620,2 Jul 2007 02:06:35.208,980.589
6,2 Jul 2007 03:34:14.010,2 Jul 2007 03:47:23.775,789.765
7,2 Jul 2007 12:40:34.529,2 Jul 2007 12:49:20.478,525.949
8,2 Jul 2007 14:19:48.727,2 Jul 2007 14:36:00.736,972.009
9,2 Jul 2007 16:02:05.871,2 Jul 2007 16:16:30.525,864.654
10,3 Jul 2007 00:12:59.767,3 Jul 2007 00:25:31.008,751.240
11,3 Jul 2007 01:51:59.932,3 Jul 2007 02:08:22.414,982.483
12,3 Jul 2007 03:36:20.819,3 Jul 2007 03:49:00.006,759.187

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jul 2007 14:24:08.960,1 Jul 2007 14:39:49.402,940.442
2,1 Jul 2007 16:06:25.864,1 Jul 2007 16:20:26.381,840.518
3,2 Jul 2007 01:45:57.033,2 Jul 2007 02:00:50.083,893.049
4,2 Jul 2007 03:27:27.060,2 Jul 2007 03:42:30.534,903.474
5,2 Jul 2007 14:25:50.176,2 Jul 2007 14:41:42.298,952.122
6,2 Jul 2007 16:08:22.828,2 Jul 2007 16:21:56.088,813.260
7,3 Jul 2007 01:47:32.226,3 Jul 2007 02:02:43.329,911.103
8,3 Jul 2007 03:29:24.769,3 Jul 2007 03:44:07.980,883.211

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jul 2007 12:34:50.391,1 Jul 2007 12:48:10.785,800.394
2,1 Jul 2007 14:15:53.691,1 Jul 2007 14:32:17.956,984.265
3,1 Jul 2007 15:58:23.381,1 Jul 2007 16:11:50.755,807.374
4,1 Jul 2007 22:33:48.252,1 Jul 2007 22:42:10.948,502.696
5,2 Jul 2007 00:10:23.048,2 Jul 2007 00:25:39.703,916.655
6,2 Jul 2007 01:51:37.996,2 Jul 2007 02:07:41.365,963.369
7,2 Jul 2007 03:38:29.352,2 Jul 2007 03:47:21.326,531.974
8,2 Jul 2007 12:36:30.262,2 Jul 2007 12:50:14.810,824.549
9,2 Jul 2007 14:17:40.884,2 Jul 2007 14:34:03.800,982.916
10,2 Jul 2007 16:00:14.650,2 Jul 2007 16:13:21.807,787.157
11,2 Jul 2007 22:35:06.792,2 Jul 2007 22:44:08.368,541.576
12,3 Jul 2007 00:12:01.112,3 Jul 2007 00:27:28.938,927.825
13,3 Jul 2007 01:53:30.680,3 Jul 2007 02:09:26.400,955.720
14,3 Jul 2007 03:40:55.803,3 Jul 2007 03:48:44.911,469.108

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jul 2007 16:02:41.977,1 Jul 2007 16:16:08.600,806.623
2,1 Jul 2007 17:43:35.964,1 Jul 2007 17:59:54.280,978.316
3,1 Jul 2007 19:26:42.905,1 Jul 2007 19:38:19.214,696.310
4,2 Jul 2007 02:01:52.111,2 Jul 2007 02:03:05.182,73.071
5,2 Jul 2007 03:34:53.198,2 Jul 2007 03:49:41.862,888.664
6,2 Jul 2007 05:15:48.011,2 Jul 2007 05:31:49.514,961.503
7,2 Jul 2007 07:03:37.348,2 Jul 2007 07:10:10.997,393.649
8,2 Jul 2007 16:04:20.027,2 Jul 2007 16:18:12.401,832.374
9,2 Jul 2007 17:45:23.753,2 Jul 2007 18:01:38.000,974.247
10,2 Jul 2007 19:28:39.464,2 Jul 2007 19:39:42.768,663.303
11,3 Jul 2007 02:02:02.078,3 Jul 2007 02:06:08.901,246.823
12,3 Jul 2007 03:36:28.860,3 Jul 2007 03:51:32.638,903.778
13,3 Jul 2007 05:17:40.707,3 Jul 2007 05:33:33.643,952.935
14,3 Jul 2007 07:06:29.619,3 Jul 2007 07:11:07.346,277.727

