"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jul 2007 12:04:33.193,40.937,-28.939,3506.241926
1 Jul 2007 12:05:33.000,45.808,-29.049,3239.722611
1 Jul 2007 12:06:33.000,51.645,-29.347,3000.369890
1 Jul 2007 12:07:33.000,58.554,-29.786,2797.136817
1 Jul 2007 12:08:33.000,66.570,-30.275,2639.044580
1 Jul 2007 12:09:33.000,75.563,-30.681,2535.005245
1 Jul 2007 12:10:33.000,85.178,-30.871,2492.015164
1 Jul 2007 12:11:33.000,94.880,-30.776,2513.183771
1 Jul 2007 12:12:33.000,104.103,-30.432,2596.686566
1 Jul 2007 12:13:33.000,112.427,-29.958,2736.362974
1 Jul 2007 12:14:33.000,119.656,-29.491,2923.541442
1 Jul 2007 12:15:33.000,125.782,-29.137,3148.992732
1 Jul 2007 12:16:33.000,130.906,-28.957,3404.241949
1 Jul 2007 12:17:02.595,133.107,-28.939,3538.874585
1 Jul 2007 21:10:00.191,58.675,-28.939,3536.798971
1 Jul 2007 21:11:00.000,64.116,-28.986,3335.364664
1 Jul 2007 21:12:00.000,70.331,-29.117,3167.416378
1 Jul 2007 21:13:00.000,77.263,-29.282,3040.154212
1 Jul 2007 21:14:00.000,84.779,-29.420,2959.506080
1 Jul 2007 21:15:00.000,92.638,-29.478,2929.813161
1 Jul 2007 21:16:00.000,100.530,-29.433,2952.905189
1 Jul 2007 21:17:00.000,108.139,-29.302,3027.669588
1 Jul 2007 21:18:00.000,115.209,-29.136,3150.337468
1 Jul 2007 21:19:00.000,121.586,-28.997,3315.333749
1 Jul 2007 21:19:58.446,127.078,-28.939,3510.688980
1 Jul 2007 22:49:40.338,11.144,-28.939,3542.042955
1 Jul 2007 22:50:40.000,12.094,-29.127,3157.924783
1 Jul 2007 22:51:40.000,13.378,-29.848,2774.330336
1 Jul 2007 22:52:40.000,15.166,-31.343,2396.610835
1 Jul 2007 22:53:40.000,17.793,-33.999,2029.961229
1 Jul 2007 22:54:40.000,21.957,-38.444,1683.568599
1 Jul 2007 22:55:40.000,29.362,-45.579,1374.752063
1 Jul 2007 22:56:40.000,44.981,-55.880,1136.344553
1 Jul 2007 22:57:40.000,81.893,-64.847,1020.298135
1 Jul 2007 22:58:40.000,128.876,-60.601,1067.894595
1 Jul 2007 22:59:40.000,151.689,-49.680,1260.706624
1 Jul 2007 23:00:40.000,161.688,-41.122,1544.845287
1 Jul 2007 23:01:40.000,166.963,-35.634,1878.603882
1 Jul 2007 23:02:40.000,170.167,-32.300,2239.001504
1 Jul 2007 23:03:40.000,172.305,-30.366,2614.017909
1 Jul 2007 23:04:40.000,173.830,-29.353,2997.058836
1 Jul 2007 23:05:40.000,174.971,-28.964,3384.227780
1 Jul 2007 23:05:57.998,175.259,-28.939,3500.776267
2 Jul 2007 00:32:04.956,330.868,-28.939,3542.775317
2 Jul 2007 00:33:04.000,327.077,-29.069,3217.059571
2 Jul 2007 00:34:04.000,322.243,-29.530,2904.532532
2 Jul 2007 00:35:04.000,316.111,-30.349,2618.607713
2 Jul 2007 00:36:04.000,308.321,-31.487,2370.167670
2 Jul 2007 00:37:04.000,298.563,-32.777,2173.146585
2 Jul 2007 00:38:04.000,286.827,-33.874,2043.246291
2 Jul 2007 00:39:04.000,273.733,-34.352,1994.073613
2 Jul 2007 00:40:04.000,260.551,-33.984,2031.595602
2 Jul 2007 00:41:04.000,248.600,-32.948,2151.052123
2 Jul 2007 00:42:04.000,238.595,-31.663,2339.424842
2 Jul 2007 00:43:04.000,230.590,-30.493,2580.952354
2 Jul 2007 00:44:04.000,224.298,-29.627,2861.325432
2 Jul 2007 00:45:04.000,219.357,-29.115,3169.247025
2 Jul 2007 00:46:04.000,215.447,-28.940,3496.349587
2 Jul 2007 00:46:06.480,215.304,-28.939,3510.188868
2 Jul 2007 08:42:29.265,318.562,-28.939,3512.922902
2 Jul 2007 08:43:29.000,314.103,-29.072,3213.190158
2 Jul 2007 08:44:29.000,308.582,-29.465,2936.443912
2 Jul 2007 08:45:29.000,301.789,-30.093,2692.916242
2 Jul 2007 08:46:29.000,293.542,-30.864,2493.542133
2 Jul 2007 08:47:29.000,283.826,-31.598,2350.556280
2 Jul 2007 08:48:29.000,272.955,-32.058,2275.321284
2 Jul 2007 08:49:29.000,261.630,-32.060,2274.974712
2 Jul 2007 08:50:29.000,250.735,-31.604,2349.650244
2 Jul 2007 08:51:29.000,240.977,-30.869,2492.433911
2 Jul 2007 08:52:29.000,232.678,-30.095,2692.090905
2 Jul 2007 08:53:29.000,225.829,-29.465,2936.427626
2 Jul 2007 08:54:29.000,220.248,-29.071,3214.500226
2 Jul 2007 08:55:29.000,215.708,-28.939,3517.422644
2 Jul 2007 08:55:33.828,215.382,-28.939,3542.655960
2 Jul 2007 10:21:52.607,358.846,-28.939,3501.143250
2 Jul 2007 10:22:52.000,359.139,-29.181,3112.714687
2 Jul 2007 10:23:52.000,359.520,-30.000,2722.407368
2 Jul 2007 10:24:52.000,0.038,-31.677,2337.079660
2 Jul 2007 10:25:52.000,0.797,-34.689,1961.536287
2 Jul 2007 10:26:52.000,2.028,-39.885,1604.546896
2 Jul 2007 10:27:52.000,4.386,-48.763,1283.542917
2 Jul 2007 10:28:52.000,10.715,-63.489,1034.277079
2 Jul 2007 10:29:52.000,59.904,-82.261,918.332909
2 Jul 2007 10:30:52.000,158.763,-68.938,984.365077
2 Jul 2007 10:31:52.000,168.286,-52.295,1202.484063
2 Jul 2007 10:32:52.000,171.250,-41.974,1507.411025
2 Jul 2007 10:33:52.000,172.674,-35.915,1855.954904
2 Jul 2007 10:34:52.000,173.500,-32.386,2226.683439
2 Jul 2007 10:35:52.000,174.031,-30.385,2609.012131
2 Jul 2007 10:36:52.000,174.393,-29.352,2997.293577
2 Jul 2007 10:37:52.000,174.649,-28.962,3388.224726
2 Jul 2007 10:38:15.614,174.729,-28.939,3542.320014
2 Jul 2007 12:06:42.848,44.030,-28.939,3507.289029
2 Jul 2007 12:07:42.000,49.065,-29.034,3259.698401
2 Jul 2007 12:08:42.000,55.078,-29.285,3038.672453
2 Jul 2007 12:09:42.000,62.077,-29.640,2855.731049
2 Jul 2007 12:10:42.000,70.031,-30.010,2719.136967
2 Jul 2007 12:11:42.000,78.756,-30.285,2636.459720
2 Jul 2007 12:12:42.000,87.889,-30.370,2612.952100
2 Jul 2007 12:13:42.000,96.953,-30.236,2650.091758
2 Jul 2007 12:14:42.000,105.491,-29.932,2745.108440
2 Jul 2007 12:15:42.000,113.183,-29.558,2891.806123
2 Jul 2007 12:16:42.000,119.891,-29.221,3082.160733
2 Jul 2007 12:17:42.000,125.619,-29.001,3307.862976
2 Jul 2007 12:18:36.795,130.066,-28.939,3538.403363
2 Jul 2007 21:11:28.388,55.132,-28.939,3537.489584
2 Jul 2007 21:12:28.000,60.349,-28.996,3316.239516
2 Jul 2007 21:13:28.000,66.423,-29.165,3125.403429
2 Jul 2007 21:14:28.000,73.328,-29.394,2973.601928
2 Jul 2007 21:15:28.000,80.974,-29.612,2867.818394
2 Jul 2007 21:16:28.000,89.144,-29.743,2813.839095
2 Jul 2007 21:17:28.000,97.506,-29.740,2815.032417
2 Jul 2007 21:18:28.000,105.685,-29.603,2871.506239
2 Jul 2007 21:19:28.000,113.350,-29.382,2980.093636
2 Jul 2007 21:20:28.000,120.282,-29.153,3135.173151
2 Jul 2007 21:21:28.000,126.390,-28.989,3329.880879
2 Jul 2007 21:22:15.949,130.681,-28.939,3509.250666
2 Jul 2007 22:51:26.130,8.873,-28.939,3542.145193
2 Jul 2007 22:52:26.000,9.547,-29.132,3154.205426
2 Jul 2007 22:53:26.000,10.460,-29.867,2767.602326
2 Jul 2007 22:54:26.000,11.743,-31.400,2386.125674
2 Jul 2007 22:55:26.000,13.643,-34.148,2014.621580
2 Jul 2007 22:56:26.000,16.700,-38.821,1661.759832
2 Jul 2007 22:57:26.000,22.309,-46.567,1344.268141
2 Jul 2007 22:58:26.000,35.242,-58.563,1095.193965
2 Jul 2007 22:59:26.000,76.144,-70.889,970.163143
2 Jul 2007 23:00:26.000,137.633,-65.218,1016.667319
2 Jul 2007 23:01:26.000,159.324,-51.690,1215.133793
2 Jul 2007 23:02:26.000,167.368,-42.002,1506.186501
2 Jul 2007 23:03:26.000,171.385,-36.044,1845.801421
2 Jul 2007 23:04:26.000,173.769,-32.498,2210.792022
2 Jul 2007 23:05:26.000,175.344,-30.460,2589.407603
2 Jul 2007 23:06:26.000,176.461,-29.391,2975.324261
2 Jul 2007 23:07:26.000,177.296,-28.972,3364.844181
2 Jul 2007 23:07:46.893,177.540,-28.939,3500.872020
3 Jul 2007 00:33:57.234,328.491,-28.939,3542.717908
