"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
1 Jul 2007 12:00:00.000,-9.955,-23.765,900.637391,0.058052,-0.012118,-0.007326
1 Jul 2007 12:01:00.000,-6.471,-24.487,900.272592,0.058072,-0.011981,-0.004819
1 Jul 2007 12:02:00.000,-2.986,-25.204,900.060602,0.058084,-0.011904,-0.002239
1 Jul 2007 12:03:00.000,0.499,-25.917,900.004610,0.058088,-0.011884,0.000375
1 Jul 2007 12:04:00.000,3.984,-26.631,900.105460,0.058082,-0.011920,0.002983
1 Jul 2007 12:05:00.000,7.469,-27.349,900.361633,0.058067,-0.012014,0.005546
1 Jul 2007 12:06:00.000,10.952,-28.074,900.769275,0.058044,-0.012168,0.008025
1 Jul 2007 12:07:00.000,14.434,-28.810,901.322252,0.058011,-0.012388,0.010384
1 Jul 2007 12:08:00.000,17.913,-29.562,902.012251,0.057970,-0.012679,0.012587
1 Jul 2007 12:09:00.000,21.390,-30.333,902.828904,0.057919,-0.013052,0.014601
1 Jul 2007 12:10:00.000,24.863,-31.130,903.759952,0.057858,-0.013519,0.016395
1 Jul 2007 12:11:00.000,28.333,-31.958,904.791433,0.057786,-0.014097,0.017944
1 Jul 2007 12:12:00.000,31.797,-32.824,905.907898,0.057702,-0.014810,0.019225
1 Jul 2007 12:13:00.000,35.257,-33.738,907.092644,0.057606,-0.015689,0.020218
1 Jul 2007 12:14:00.000,38.710,-34.711,908.327972,0.057494,-0.016774,0.020909
1 Jul 2007 12:15:00.000,42.156,-35.756,909.595453,0.057363,-0.018125,0.021288
1 Jul 2007 12:16:00.000,45.593,-36.893,910.876206,0.057209,-0.019820,0.021351
1 Jul 2007 12:17:00.000,49.020,-38.144,912.151183,0.057023,-0.021975,0.021096
1 Jul 2007 12:18:00.000,52.435,-39.542,913.401445,0.056796,-0.024756,0.020528
1 Jul 2007 12:19:00.000,55.834,-41.132,914.608454,0.056511,-0.028414,0.019656
